 Masse A  
t x y 
496.000 22.03 57.47
497.000 21.98 57.49
498.000 21.92 57.62
499.000 21.44 57.55
500.000 21.28 57.60
501.000 21.18 57.50
502.000 21.07 57.58
503.000 20.94 57.55
504.000 20.55 57.55
505.000 20.29 57.52
506.000 20.17 57.42
507.000 19.96 57.39
508.000 19.81 57.46
509.000 19.35 57.41
510.000 19.31 57.48
511.000 19.02 57.54
512.000 18.96 57.54
513.000 18.64 57.57
514.000 18.30 57.46
515.000 17.97 57.53
516.000 17.95 57.44
517.000 17.65 57.45
518.000 17.17 57.48
519.000 16.86 57.56
520.000 16.31 57.50
521.000 16.15 57.50
522.000 16.15 57.43
523.000 15.82 57.67
524.000 15.15 57.58
525.000 14.81 57.52
526.000 14.39 57.50
527.000 13.96 57.49
528.000 13.73 57.50
529.000 13.29 57.42
530.000 13.07 57.44
531.000 12.88 57.47
532.000 12.24 57.50
533.000 11.96 57.48
534.000 11.49 57.41
535.000 10.96 57.37
536.000 10.61 57.40
537.000 10.14 57.53
538.000 9.814 57.55
539.000 9.060 57.51
540.000 8.627 57.47
541.000 8.169 57.42
542.000 7.845 57.47
543.000 7.238 57.43
544.000 6.824 57.50
545.000 6.276 57.37
546.000 5.946 57.41
547.000 5.511 57.38
548.000 4.952 57.41
549.000 4.537 57.35
550.000 4.085 57.48
551.000 3.706 57.50
552.000 2.884 57.45
553.000 2.149 57.45
554.000 1.738 57.46
555.000 1.199 57.49
556.000 0.831 57.54
557.000 0.214 57.41
558.000 4.924E-2 57.37
559.000 -0.468 57.35
560.000 -1.156 57.61
561.000 -1.674 57.43
562.000 -2.425 57.49
563.000 -2.871 57.45
564.000 -3.445 57.52
565.000 -3.923 57.49
566.000 -4.273 57.52
567.000 -4.855 57.39
568.000 -5.451 57.49
569.000 -5.867 57.41
570.000 -6.363 57.49
571.000 -7.050 57.40
572.000 -7.547 57.44
573.000 -8.133 57.42
574.000 -8.851 57.46
575.000 -9.281 57.37
576.000 -9.970 57.47
577.000 -10.34 57.45
578.000 -10.94 57.32
579.000 -11.72 57.32
580.000 -12.11 57.33
581.000 -12.80 57.35
582.000 -13.34 57.51
583.000 -13.91 57.30
584.000 -14.26 57.57
585.000 -15.00 57.32
586.000 -15.36 57.33
587.000 -15.91 57.36
588.000 -16.47 57.25
589.000 -17.22 57.45
590.000 -17.76 57.33
591.000 -18.15 57.36
592.000 -19.03 57.32
593.000 -19.35 57.38
594.000 -19.92 57.34
595.000 -20.35 57.35
596.000 -20.95 57.40
597.000 -21.40 57.36
598.000 -21.97 57.37
599.000 -22.33 57.44
600.000 -22.96 57.38
601.000 -23.53 57.36
602.000 -24.11 57.36
603.000 -24.71 57.35
604.000 -25.11 57.38
605.000 -25.76 57.46
606.000 -26.04 57.39
607.000 -26.49 57.33
608.000 -27.03 57.28
609.000 -27.31 57.41
610.000 -27.92 57.32
611.000 -28.27 57.46
612.000 -28.98 57.33
613.000 -29.44 57.36
614.000 -30.09 57.31
615.000 -30.71 57.21
616.000 -30.91 57.30
617.000 -31.15 57.41
618.000 -31.62 57.30
619.000 -31.96 57.33
620.000 -32.29 57.44
621.000 -32.85 57.38
622.000 -33.27 57.46
623.000 -33.54 57.38
624.000 -34.02 57.27
625.000 -34.41 57.35
626.000 -34.90 57.39
627.000 -35.32 57.46
628.000 -35.82 57.27
629.000 -35.95 57.37
630.000 -36.06 57.40
631.000 -36.22 57.47
632.000 -36.89 57.42
633.000 -37.28 57.49
634.000 -37.74 57.43
635.000 -38.03 57.34
636.000 -38.32 57.35
637.000 -38.90 57.34
638.000 -39.02 57.31
639.000 -39.41 57.39
640.000 -39.79 57.28
641.000 -39.99 57.28
642.000 -40.09 57.42
643.000 -40.40 57.40
644.000 -40.80 57.35
645.000 -40.86 57.39
646.000 -41.17 57.38
647.000 -41.47 57.37
648.000 -41.78 57.28
649.000 -41.83 57.35
650.000 -41.92 57.35
651.000 -42.20 57.33
652.000 -42.39 57.33
653.000 -42.59 57.27
654.000 -42.69 57.26
655.000 -42.70 57.27
656.000 -42.87 57.25
657.000 -42.96 57.29
658.000 -43.10 57.37
659.000 -43.45 57.36
660.000 -43.76 57.39
661.000 -43.78 57.31
662.000 -43.83 57.32
663.000 -43.89 57.27
664.000 -43.97 57.26
665.000 -43.96 57.28
666.000 -44.03 57.26
667.000 -44.05 57.24
668.000 -44.04 57.27
669.000 -44.09 57.28
670.000 -44.35 57.28
671.000 -44.44 57.27
672.000 -44.40 57.27
673.000 -44.39 57.31
674.000 -44.44 57.29
675.000 -44.40 57.31
676.000 -44.40 57.30
677.000 -44.43 57.29
678.000 -44.43 57.28
679.000 -44.36 57.27
680.000 -44.31 57.28
681.000 -44.29 57.27
682.000 -44.28 57.29
683.000 -44.18 57.27
684.000 -44.04 57.32
685.000 -43.78 57.33
686.000 -43.65 57.36
687.000 -43.58 57.35
688.000 -43.45 57.31
689.000 -43.41 57.30
690.000 -43.28 57.33
691.000 -43.14 57.32
692.000 -42.96 57.29
693.000 -42.63 57.30
694.000 -42.50 57.35
695.000 -42.14 57.44
696.000 -42.10 57.41
697.000 -42.01 57.33
698.000 -41.75 57.33
699.000 -41.47 57.34
700.000 -41.33 57.39
701.000 -40.97 57.40
702.000 -40.71 57.41
703.000 -40.40 57.41
704.000 -40.37 57.39
705.000 -40.27 57.40
706.000 -39.98 57.27
707.000 -39.64 57.38
708.000 -39.21 57.48
709.000 -38.90 57.34
710.000 -38.41 57.38
711.000 -38.07 57.30
712.000 -37.70 57.43
713.000 -37.36 57.47
714.000 -37.01 57.42
715.000 -36.48 57.39
716.000 -36.39 57.35
717.000 -36.06 57.38
718.000 -35.75 57.33
719.000 -35.39 57.28
720.000 -35.11 57.62
721.000 -34.74 57.34
722.000 -34.10 57.36
723.000 -33.85 57.35
724.000 -33.37 57.40
725.000 -33.09 57.44
726.000 -32.72 57.32
727.000 -32.12 57.40
728.000 -31.83 57.28
729.000 -31.36 57.27
730.000 -31.13 57.36
731.000 -30.76 57.24
732.000 -30.22 57.26
733.000 -29.84 57.24
734.000 -29.23 57.39
735.000 -28.71 57.38
736.000 -28.27 57.44
737.000 -27.80 57.34
738.000 -27.26 57.42
739.000 -26.95 57.26
740.000 -26.32 57.31
741.000 -25.95 57.48
742.000 -25.51 57.47
743.000 -24.94 57.31
744.000 -24.31 57.37
745.000 -23.92 57.41
746.000 -23.39 57.35
747.000 -22.89 57.39
748.000 -22.38 57.42
749.000 -21.96 57.34
750.000 -21.44 57.35
751.000 -21.00 57.40
752.000 -20.38 57.34
753.000 -19.90 57.35
754.000 -19.31 57.36
755.000 -18.98 57.20
756.000 -18.19 57.37
757.000 -17.68 57.33
758.000 -17.18 57.45
759.000 -16.79 57.19
760.000 -16.07 57.25
761.000 -15.49 57.39
762.000 -15.07 57.33
763.000 -14.46 57.58
764.000 -14.00 57.24
765.000 -13.69 57.33
766.000 -13.09 57.56
767.000 -12.60 57.32
768.000 -12.05 57.26
769.000 -11.47 57.30
770.000 -10.77 57.38
771.000 -10.16 57.48
772.000 -9.899 57.43
773.000 -9.352 57.38
774.000 -8.807 57.41
775.000 -8.209 57.33
776.000 -7.890 57.45
777.000 -7.233 57.37
778.000 -6.746 57.45
779.000 -6.062 57.34
780.000 -5.575 57.41
781.000 -4.941 57.36
782.000 -4.380 57.42
783.000 -3.984 57.44
784.000 -3.569 57.57
785.000 -3.138 57.49
786.000 -2.722 57.50
787.000 -1.958 57.35
788.000 -1.272 57.56
789.000 -1.071 57.31
790.000 -0.407 57.34
791.000 -8.305E-4 57.33
792.000 0.465 57.43
793.000 0.833 57.51
794.000 1.191 57.48
795.000 1.815 57.43
796.000 2.073 57.45
797.000 2.561 57.40
798.000 3.206 57.47
799.000 3.898 57.51
800.000 4.069 57.37
801.000 4.596 57.35
802.000 4.995 57.39
803.000 5.469 57.34
804.000 5.954 57.45
805.000 6.515 57.42
806.000 6.870 57.48
807.000 7.260 57.41
808.000 7.727 57.49
809.000 8.052 57.39
810.000 8.354 57.40
811.000 8.738 57.49
812.000 9.109 57.54
813.000 9.694 57.51
814.000 10.04 57.49
815.000 10.40 57.47
816.000 10.70 57.38
817.000 11.11 57.34
818.000 11.61 57.52
819.000 11.96 57.49
820.000 12.46 57.56
821.000 12.77 57.53
822.000 12.79 57.48
823.000 13.08 57.43
824.000 13.51 57.43
825.000 13.72 57.47
826.000 13.83 57.56
827.000 14.16 57.57
828.000 14.62 57.55
829.000 14.75 57.58
830.000 14.93 57.61
831.000 15.66 57.57
832.000 15.89 57.55
833.000 15.94 57.47
834.000 16.30 57.50
835.000 16.33 57.52
836.000 16.45 57.53
837.000 16.68 57.56
838.000 16.88 57.54
839.000 17.04 57.44
840.000 17.51 57.47
841.000 17.63 57.44
842.000 17.66 57.53
843.000 17.88 57.59
844.000 17.91 57.55
845.000 18.04 57.49
846.000 18.35 57.48
847.000 18.44 57.49
848.000 18.49 57.54
849.000 18.64 57.58
850.000 18.68 57.55
851.000 18.68 57.53
852.000 18.95 57.54
853.000 19.23 57.50
854.000 19.29 57.48
855.000 19.31 57.49
856.000 19.44 57.48
857.000 19.42 57.43
858.000 19.44 57.43
859.000 19.46 57.46
860.000 19.46 57.43
861.000 19.55 57.42
862.000 19.51 57.42
863.000 19.49 57.43
864.000 19.52 57.43
865.000 19.52 57.43
866.000 19.49 57.42
867.000 19.45 57.43
868.000 19.46 57.43
869.000 19.41 57.44
870.000 19.31 57.49
871.000 19.31 57.50
872.000 19.25 57.51
873.000 19.16 57.50
874.000 19.13 57.53
875.000 19.10 57.54
876.000 18.87 57.59
877.000 18.54 57.56
878.000 18.41 57.53
879.000 18.33 57.48
880.000 18.11 57.50
881.000 18.10 57.46
882.000 17.94 57.53
883.000 17.93 57.46
884.000 17.68 57.52
885.000 17.39 57.45
886.000 17.07 57.47
887.000 16.91 57.60
888.000 16.46 57.55
889.000 16.36 57.51
890.000 16.14 57.47
891.000 16.21 57.45
892.000 16.07 57.48
893.000 15.82 57.58
894.000 15.26 57.59
895.000 15.00 57.64
896.000 14.80 57.51
897.000 14.41 57.55
898.000 14.01 57.50
899.000 13.78 57.49
900.000 13.52 57.44
901.000 13.25 57.44
902.000 13.11 57.42
903.000 13.00 57.43
904.000 12.79 57.55
905.000 12.06 57.52
906.000 11.73 57.59
907.000 11.20 57.39
908.000 10.89 57.47
909.000 10.40 57.38
910.000 10.28 57.49
911.000 9.968 57.56
912.000 9.493 57.54
913.000 8.799 57.49
914.000 8.481 57.49
915.000 8.178 57.44
916.000 8.053 57.40
917.000 7.619 57.51
918.000 7.112 57.39
919.000 6.668 57.44
920.000 6.144 57.39
921.000 5.784 57.51
922.000 5.279 57.39
923.000 4.872 57.37
924.000 4.305 57.36
925.000 4.019 57.44
926.000 3.821 57.47
927.000 3.166 57.42
928.000 2.667 57.40
929.000 2.064 57.43
930.000 1.809 57.50
931.000 1.147 57.49
932.000 0.734 57.54
933.000 0.315 57.47
934.000 7.371E-2 57.39
935.000 -0.395 57.37
936.000 -1.025 57.29
937.000 -1.319 57.49
938.000 -1.935 57.43
939.000 -2.504 57.49
940.000 -3.035 57.45
941.000 -3.442 57.52
942.000 -3.978 57.52
943.000 -4.281 57.50
944.000 -4.845 57.44
945.000 -5.376 57.49
946.000 -5.908 57.42
947.000 -6.270 57.52
948.000 -6.949 57.37
949.000 -7.456 57.39
950.000 -7.948 57.38
951.000 -8.381 57.36
952.000 -8.893 57.45
953.000 -9.395 57.41
954.000 -9.921 57.45
955.000 -10.31 57.49
956.000 -10.87 57.39
957.000 -11.66 57.31
958.000 -11.98 57.26
959.000 -12.30 57.32
960.000 -13.12 57.59
961.000 -13.85 57.31
962.000 -13.98 57.29
963.000 -14.36 57.57
964.000 -14.99 57.38
965.000 -15.40 57.39
966.000 -15.95 57.35
967.000 -16.31 57.32
968.000 -17.04 57.42
969.000 -17.33 57.38
970.000 -17.94 57.21
971.000 -18.60 57.39
972.000 -19.21 57.36
973.000 -19.59 57.31
974.000 -20.03 57.36
975.000 -20.44 57.33
976.000 -20.99 57.37
977.000 -21.41 57.35
978.000 -21.95 57.36
979.000 -22.30 57.48
980.000 -22.86 57.40
981.000 -23.28 57.41
982.000 -23.89 57.34
983.000 -24.25 57.37
984.000 -24.82 57.29
985.000 -25.23 57.47
986.000 -25.83 57.51
987.000 -25.91 57.30
988.000 -26.39 57.31
989.000 -27.01 57.27
990.000 -27.28 57.44
991.000 -27.77 57.40
992.000 -28.08 57.48
993.000 -28.66 57.41
994.000 -29.10 57.49
995.000 -29.69 57.26
996.000 -30.02 57.24
997.000 -30.47 57.30
998.000 -30.81 57.30
999.000 -31.06 57.38
1000.000 -31.30 57.40
1001.000 -31.73 57.31
1002.000 -32.06 57.29
1003.000 -32.20 57.49
1004.000 -32.89 57.35
1005.000 -33.19 57.44
1006.000 -33.48 57.44
1007.000 -33.89 57.29
1008.000 -34.03 57.29
1009.000 -34.39 57.43
1010.000 -34.95 57.42
1011.000 -35.17 57.48
1012.000 -35.77 57.32
1013.000 -35.93 57.36
1014.000 -35.95 57.36
1015.000 -36.05 57.42
1016.000 -36.23 57.47
1017.000 -36.61 57.41
1018.000 -37.04 57.45
1019.000 -37.15 57.48
1020.000 -37.71 57.46
1021.000 -37.82 57.39
1022.000 -38.07 57.32
1023.000 -38.16 57.37
1024.000 -38.80 57.36
1025.000 -39.05 57.36
1026.000 -39.09 57.43
1027.000 -39.61 57.38
1028.000 -39.69 57.35
1029.000 -39.92 57.29
1030.000 -39.94 57.30
1031.000 -40.02 57.29
1032.000 -40.09 57.44
1033.000 -40.39 57.40
1034.000 -40.49 57.39
1035.000 -40.63 57.34
1036.000 -40.73 57.38
1037.000 -40.83 57.40
1038.000 -40.87 57.40
1039.000 -41.00 57.40
1040.000 -41.07 57.36
1041.000 -41.13 57.41
1042.000 -41.40 57.37
1043.000 -41.53 57.36
1044.000 -41.61 57.33
1045.000 -41.61 57.36
1046.000 -41.61 57.38
1047.000 -41.70 57.34
1048.000 -41.67 57.36
1049.000 -41.65 57.36
1050.000 -41.68 57.36
1051.000 -41.68 57.34
1052.000 -41.69 57.34
1053.000 -41.67 57.34
1054.000 -41.68 57.36
1055.000 -41.67 57.34
1056.000 -41.68 57.33
1057.000 -41.69 57.34
1058.000 -41.64 57.36
1059.000 -41.62 57.34
1060.000 -41.56 57.33
1061.000 -41.50 57.36
1062.000 -41.45 57.37
1063.000 -41.38 57.35
1064.000 -41.30 57.37
1065.000 -41.20 57.39
1066.000 -41.13 57.39
1067.000 -41.03 57.33
1068.000 -40.50 57.37
1069.000 -40.45 57.37
1070.000 -40.39 57.40
1071.000 -40.34 57.33
1072.000 -40.29 57.37
1073.000 -40.16 57.39
1074.000 -40.01 57.27
1075.000 -39.69 57.35
1076.000 -39.33 57.40
1077.000 -39.29 57.41
1078.000 -39.14 57.45
1079.000 -38.83 57.35
1080.000 -38.26 57.39
1081.000 -38.08 57.42
1082.000 -37.78 57.42
1083.000 -37.55 57.39
1084.000 -37.22 57.44
1085.000 -36.90 57.42
1086.000 -36.66 57.40
1087.000 -36.47 57.38
1088.000 -36.32 57.35
1089.000 -36.15 57.33
1090.000 -35.85 57.34
1091.000 -35.53 57.37
1092.000 -35.18 57.47
1093.000 -34.77 57.33
1094.000 -34.49 57.40
1095.000 -33.97 57.27
1096.000 -33.63 57.35
1097.000 -33.30 57.43
